version,axis,char,family,speed,gamma,lambda,mu,sigma,converged,n_trials,n_rows,n_participants,note
excl_clamp0,nominal,ま,blur,pooled,0.01389,1.0,44.5377,10.36546,True,121,121,41,
excl_clamp0,nominal,ま,blur,300,0.01389,1.0,44.65448,11.5565,True,63,63,21,
excl_clamp0,nominal,ま,blur,500,0.01389,1.0,44.26929,9.21735,True,58,58,20,
excl_clamp0,nominal,ま,wipe,pooled,0.01389,0.95238,3.96602,0.0995,True,126,126,42,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,ま,wipe,300,0.01389,0.93548,3.87747,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,ま,wipe,500,0.01389,0.96875,4.14113,0.0995,True,63,63,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性)
excl_clamp0,nominal,ら,fade,pooled,0.01389,1.0,1.68598,0.36383,True,126,126,42,
excl_clamp0,nominal,ら,fade,300,0.01389,1.0,1.92933,0.35437,True,63,63,21,
excl_clamp0,nominal,ら,fade,500,0.01389,1.0,1.43137,0.24044,True,63,63,21,
excl_clamp0,nominal,ら,reveal,pooled,0.01389,0.87717,0.96721,0.26525,True,123,123,41,
excl_clamp0,nominal,ら,reveal,300,0.01389,0.80737,0.89469,0.28782,True,60,60,20,
excl_clamp0,nominal,ら,reveal,500,0.01389,0.94759,1.05543,0.26298,True,63,63,21,
excl_clamp0,nominal,ら,blur,pooled,0.01389,1.0,47.6378,10.50252,True,120,120,39,
excl_clamp0,nominal,ら,blur,300,0.01389,1.0,49.58851,9.87461,True,60,60,20,
excl_clamp0,nominal,ら,blur,500,0.01389,1.0,45.74062,10.92899,True,60,60,19,
