modality,char,family,type,level,main_accuracy,main_n,compare_group,decoy_level,decoy_accuracy,decoy_n,level_diff,diff
visual,あ,reveal,seion,9.0,1.0,16,all_decoy,9.0,0.94536,183,0.0,0.05464
visual,あ,reveal,seion,9.0,1.0,16,same_type_decoy,9.0,0.94444,108,0.0,0.05556
visual,あ,reveal,seion,100.0,1.0,15,all_decoy,100.0,0.98889,180,0.0,0.01111
visual,あ,reveal,seion,100.0,1.0,15,same_type_decoy,100.0,0.99029,103,0.0,0.00971
visual,あ,wipe,seion,0.5,0.26667,15,all_decoy,0.5,0.00543,184,0.0,0.26123
visual,あ,wipe,seion,0.5,0.26667,15,same_type_decoy,0.5,0.00901,111,0.0,0.25766
visual,あ,wipe,seion,1.0,0.0,15,all_decoy,1.0,0.03315,181,0.0,-0.03315
visual,あ,wipe,seion,1.0,0.0,15,same_type_decoy,1.0,0.04839,124,0.0,-0.04839
visual,あ,wipe,seion,2.0,0.06667,15,all_decoy,2.0,0.03226,186,0.0,0.03441
visual,あ,wipe,seion,2.0,0.06667,15,same_type_decoy,2.0,0.04724,127,0.0,0.01942
visual,あ,wipe,seion,4.0,0.1875,16,all_decoy,4.0,0.04839,186,0.0,0.13911
visual,あ,wipe,seion,4.0,0.1875,16,same_type_decoy,4.0,0.07339,109,0.0,0.11411
visual,あ,wipe,seion,8.0,0.35714,14,all_decoy,8.0,0.1105,181,0.0,0.24665
visual,あ,wipe,seion,8.0,0.35714,14,same_type_decoy,8.0,0.15748,127,0.0,0.19966
visual,あ,wipe,seion,14.0,0.33333,15,all_decoy,14.0,0.12088,182,0.0,0.21245
visual,あ,wipe,seion,14.0,0.33333,15,same_type_decoy,14.0,0.17544,114,0.0,0.15789
visual,あ,wipe,seion,25.0,0.5,16,all_decoy,25.0,0.2381,189,0.0,0.2619
visual,あ,wipe,seion,25.0,0.5,16,same_type_decoy,25.0,0.375,120,0.0,0.125
visual,あ,wipe,seion,100.0,1.0,14,all_decoy,100.0,0.9779,181,0.0,0.0221
visual,あ,wipe,seion,100.0,1.0,14,same_type_decoy,100.0,0.97674,129,0.0,0.02326
visual,か,blur,seion,26.0,0.26667,15,all_decoy,26.0,0.23204,181,0.0,0.03462
visual,か,blur,seion,26.0,0.26667,15,same_type_decoy,26.0,0.23684,114,0.0,0.02982
visual,か,blur,seion,38.0,0.3125,16,all_decoy,38.0,0.2766,188,0.0,0.0359
visual,か,blur,seion,38.0,0.3125,16,same_type_decoy,38.0,0.29167,120,0.0,0.02083
visual,か,blur,seion,48.0,0.5,16,all_decoy,48.0,0.50273,183,0.0,-0.00273
visual,か,blur,seion,48.0,0.5,16,same_type_decoy,48.0,0.57273,110,0.0,-0.07273
visual,か,blur,seion,56.0,0.53333,15,all_decoy,56.0,0.62431,181,0.0,-0.09098
visual,か,blur,seion,56.0,0.53333,15,same_type_decoy,56.0,0.71053,114,0.0,-0.17719
visual,か,blur,seion,64.0,0.9375,16,all_decoy,64.0,0.76923,182,0.0,0.16827
