char,family,gyou,type,ink_pixels,ink_quartile,gamma,lambda,mu,sigma,converged,n_trials,note,lambda_observed_full,n_full
べ,fade,は,dakuon,5401,Q1(画素少),0.01389,0.83375,1.26752,0.0996,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.17ポイント食い違う,1.0,2
べ,reveal,は,dakuon,5401,Q1(画素少),0.01389,0.84618,1.87124,0.0999,True,33,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);推定λとfull実測が0.15ポイント食い違う,1.0,4
べ,wipe,は,dakuon,5401,Q1(画素少),0.01389,1.0,76.11214,0.0995,True,24,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ぺ,blur,は,handakuon,5613,Q1(画素少),0.01389,1.0,24.77765,32.1546,True,15,full実測データなし,,0
ぺ,fade,は,handakuon,5613,Q1(画素少),0.01389,0.92776,2.10796,0.52002,True,39,,1.0,6
ぺ,reveal,は,handakuon,5613,Q1(画素少),0.01389,1.0,2.16948,0.0999,True,36,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,6
ぺ,wipe,は,handakuon,5613,Q1(画素少),0.01389,1.0,48.05994,11.08781,True,24,,1.0,1
ほ,blur,は,seion,10411,Q4(画素多),0.01389,1.0,43.36148,20.27928,True,18,,1.0,2
ほ,fade,は,seion,10411,Q4(画素多),0.01389,1.0,2.86897,0.7783,True,39,,1.0,4
ほ,reveal,は,seion,10411,Q4(画素多),0.01389,1.0,2.11523,0.0997,True,18,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ほ,wipe,は,seion,10411,Q4(画素多),0.01389,1.0,54.00961,10.89674,True,30,,1.0,4
ぼ,blur,は,dakuon,10814,Q4(画素多),0.01389,1.0,59.74832,16.87535,True,27,,1.0,4
ぼ,fade,は,dakuon,10814,Q4(画素多),0.01389,1.0,3.08401,5.20279,True,21,,1.0,3
ぼ,reveal,は,dakuon,10814,Q4(画素多),0.01389,1.0,4.26793,1.70925,True,27,,1.0,1
ぼ,wipe,は,dakuon,10814,Q4(画素多),0.01389,0.66667,51.92616,0.0995,True,27,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),0.66667,3
ぽ,blur,は,handakuon,11147,Q4(画素多),0.01389,1.0,82.43397,19.84154,True,27,推定λとfull実測が0.20ポイント食い違う,0.8,5
ぽ,fade,は,handakuon,11147,Q4(画素多),0.01389,0.851,1.15072,0.0996,True,39,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
ぽ,reveal,は,handakuon,11147,Q4(画素多),0.01389,0.74427,3.70726,0.80328,True,36,,0.75,4
ぽ,wipe,は,handakuon,11147,Q4(画素多),0.01389,1.0,68.0118,0.0995,True,9,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
み,blur,ま,seion,8769,Q4(画素多),0.01389,1.0,46.6376,8.92217,True,24,,1.0,2
み,fade,ま,seion,8769,Q4(画素多),0.01389,1.0,1.85074,0.79521,True,36,,1.0,4
み,reveal,ま,seion,8769,Q4(画素多),0.01389,1.0,2.72099,0.79634,True,30,,1.0,7
み,wipe,ま,seion,8769,Q4(画素多),0.01389,1.0,18.13548,0.0995,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,4
む,blur,ま,seion,8522,Q3,0.01389,1.0,65.52449,8.54613,True,33,,1.0,2
む,fade,ま,seion,8522,Q3,0.01389,1.0,2.36373,2.50221,True,15,,1.0,2
む,reveal,ま,seion,8522,Q3,0.01389,1.0,8.4777,4.79287,True,9,,1.0,1
む,wipe,ま,seion,8522,Q3,0.01389,1.0,20.08173,0.0995,True,21,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,1
め,blur,ま,seion,9647,Q4(画素多),0.01389,1.0,31.45206,11.02052,True,18,,1.0,2
め,fade,ま,seion,9647,Q4(画素多),0.01389,1.0,2.8507,0.0996,True,12,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性),1.0,2
め,reveal,ま,seion,9647,Q4(画素多),0.01389,1.0,1.85395,0.49671,True,30,,1.0,5
め,wipe,ま,seion,9647,Q4(画素多),0.01389,1.0,34.24395,10.77735,True,36,,1.0,8
も,blur,ま,seion,7824,Q3,0.01389,1.0,47.74242,0.38325,True,18,,1.0,4
も,fade,ま,seion,7824,Q3,0.01389,1.0,2.45487,0.70865,True,38,,1.0,8
も,reveal,ま,seion,7824,Q3,0.01389,0.90503,1.30551,0.33218,True,21,,1.0,3
も,wipe,ま,seion,7824,Q3,0.01389,0.75,19.5383,0.0245,True,15,sigmaが下限に張り付き(階段状の急変化、この値より鋭い可能性);full実測データなし,,0
や,blur,や,seion,7331,Q2,0.01389,1.0,39.21915,8.73142,True,15,,1.0,2
